unique_respondent_id,location_id,respondent_id,recall_case_id,opened_date,opened_by_username,owner_name,recalled_date,recall_status,gender,age_years_calculated,age_months_calculated,age_range,pregnant,breastfeeding,supplements,urban_rural,food_code,food_name,recipe_name,caseid,reference_food_code,base_term_food_code,food_type,include_in_analysis,food_status,eating_time,time_block,fao_who_gift_food_group_code,fao_who_gift_food_group_description,user_food_group,already_reported_food,already_reported_food_case_id,already_reported_recipe,already_reported_recipe_case_id,already_reported_recipe_name,is_ingredient,recipe_case_id,ingr_recipe_code,ingr_fraction,ingr_recipe_total_grams_consumed,short_name,food_base_term,tag_1,other_tag_1,tag_2,other_tag_2,tag_3,other_tag_3,tag_4,other_tag_4,tag_5,other_tag_5,tag_6,other_tag_6,tag_7,other_tag_7,tag_8,other_tag_8,tag_9,other_tag_9,tag_10,other_tag_10,conv_method_code,conv_method_desc,conv_option_code,conv_option_desc,measurement_amount,conv_units,portions,nsr_conv_method_code_post_cooking,nsr_conv_method_desc_post_cooking,nsr_conv_option_code_post_cooking,nsr_conv_option_desc_post_cooking,nsr_measurement_amount_post_cooking,nsr_consumed_cooked_fraction,recipe_num_ingredients,conv_factor_food_code,conv_factor_base_term_food_code,conv_factor_used,conv_factor,fct_food_code_exists,fct_base_term_food_code_exists,fct_reference_food_code_exists,fct_data_used,fct_code,total_grams,energy_kcal_per_100g,energy_kcal,water_G_per_100g,water_g,protein_g_per_100g,protein_g,<all other nutrients>,conv_factor_gap_code,conv_factor_gap_desc,fct_gap_code,fct_gap_desc
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,Snickers bar,---,56d1f30e-5ece-4c4e-99c4-0e39da399050,,,non_std_food_item,yes,fourth_pass,,10:00 - 11:59,,,,,---,---,---,---,,---,,,,candy bar,,,---,,---,,---,,---,,---,,---,,---,,---,,---,,---,10,Direct weight (g),---,,300,grams,1,---,---,---,---,---,---,,,,,,no,no,no,,,,,,,,,,…,8,8 - no conversion factor available,8,8 - no fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,1137,"Pomme de terre,a la vapeur",---,602a84ec-d683-4a27-b1ec-0182a78b398d,1136,1134,food_item,yes,fourth_pass,,2:00 - 3:59,2,"Roots, tubers, plantains and their products (2)",,,---,---,---,---,,---,,,,potato,Pomme de terre,a la vapeur,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,40,Photos (g),4,3.Large size,1,grams,2,---,---,---,---,---,---,,280,236,food_code,280,yes,yes,yes,reference_food_code,1137,560,79,442.4,78.2,,1.5,0,…,1,1 - conversion factor available,3,3 - using fct data from reference food code
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,,"Viande,poulet,cuisse,sechee,crue,viande hachee,avec la peau,fumee,filet",---,39e751fa-01d5-4a81-88bb-82db01d0d9d7,,187,food_item,yes,fourth_pass,,2:00 - 3:59,7,Meat and meat products (7),,,---,---,---,---,,---,,,,chicken,Viande,poulet,---,cuisse,---,sechee,---,crue,---,viande hachee,---,avec la peau,---,fumee,---,filet,---,I DONT KNOW,---,I DONT KNOW,---,10,Direct weight (g),---,,350,grams,2,---,---,---,---,---,---,,,0.76,base_term_food_code,0.76,no,yes,no,base_term_food_code,187,532,239,1271.48,61.3,,18.6,0,…,2,2 - using conversion factor from base term food code,2,2 - using data from base term food code
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,10009,Riz gras,Riz gras,4cb9acef-dc43-4ff4-a1af-a91c4c526375,,10009,std_recipe,no,fourth_pass,,4:00 - 5:59,,,,,---,---,---,---,,---,,,,rice,I DONT KNOW,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,40,Photos (g),2,2.Medium size,1,grams,1,---,---,---,---,---,---,7,344,344,food_code,344,no,no,no,,,344,,,,,,,…,1,1 - conversion factor available,7,7 - ingredients contain fct data gaps
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,,Beef Stew,Beef Stew,e87542d5-3f18-4230-93d3-2a602756f4b7,,,non_std_recipe,no,fourth_pass,,2:00 - 3:59,,,,,---,---,---,---,,---,,,,strew,,,---,,---,,---,,---,,---,,---,,---,,---,,---,,---,10,Direct weight (g),---,,800,grams,1,---,---,---,---,---,,0,,,,,no,no,no,,,,,,,,,,…,8,8 - no conversion factor available,8,8 - no fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,10089,Sauce Gombo,Sauce Gombo,b9214b3f-7391-41a3-8458-1dffc1448714,,10089,std_recipe,no,fourth_pass,,6:00 - 7:59,,,,,---,---,---,---,,---,,,,okra,I DONT KNOW,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,52,Proxy weight (g) - other,---,,455,grams,2,---,---,---,---,---,---,7,1.5,1.5,food_code,1.5,no,no,no,,,1365,,,,,,,…,1,1 - conversion factor available,7,7 - ingredients contain fct data gaps
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,431,"Bouillon cube,Maggi,raw",Sauce Gombo,,429,429,food_item,yes,fourth_pass,,6:00 - 7:59,16,Food supplements and similar (16),,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.0073,1365,,Bouillon cube,Maggi,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,yes,reference_food_code,431,9.9645,190,18.93255,4.3,,15.5,0,,8,8 - no conversion factor available,3,3 - using fct data from reference food code
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,1107,"Fish powder,raw",Sauce Gombo,,,,food_item,yes,fourth_pass,,6:00 - 7:59,9,Vegetables and their products (9),,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.12,1365,,Fish powder,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,1107,163.8,367,601.146,35,,41.8,0,,8,8 - no conversion factor available,1,1 - fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,450,"Potash,solid",Sauce Gombo,,,449,food_item,yes,fourth_pass,,6:00 - 7:59,13,Spices and condiments (13),,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.01,1365,,Potash,solid,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,450,13.65,0,0,13.2,,0,0,,8,8 - no conversion factor available,1,1 - fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,885,"Okra,dried,cut in pieces,non crushed,raw",Sauce Gombo,,,,food_item,yes,fourth_pass,,6:00 - 7:59,4,Milk and milk products (4),,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.37,1365,,Okra,dried,,cut in pieces,,non crushed,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,885,505.05,245,1237.3725,9,,12.8,0,,8,8 - no conversion factor available,1,1 - fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,416,"Chilli pepper,whole,red,dried,raw",Sauce Gombo,,,,food_item,yes,fourth_pass,,6:00 - 7:59,16,Food supplements and similar (16),,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.008,1365,,Chilli pepper,whole,,red,,dried,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,416,10.92,347,37.8924,8,,15,0,,8,8 - no conversion factor available,1,1 - fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,69,"Salt,unspecified,raw",Sauce Gombo,,,,food_item,yes,fourth_pass,,6:00 - 7:59,16,Food supplements and similar (16),,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.0152,1365,,Salt,I DONT KNOW,,unspecified,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,69,20.748,0,0,0.5,,0,0,,8,8 - no conversion factor available,1,1 - fct data available
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,467,"Soumbala,nere,grain,dried,raw",Sauce Gombo,,,,food_item,yes,fourth_pass,,6:00 - 7:59,3,"Pulses, seeds and nuts and their products (3)",,,,,,,yes,b9214b3f-7391-41a3-8458-1dffc1448714,10089,0.0765,1365,,Soumbala,nere,,grain,,dried,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,467,104.4225,375,391.584375,15.1,,33.1,0,,8,8 - no conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,69,"Salt,unspecified,raw",Riz gras,,,422,food_item,yes,fourth_pass,,4:00 - 5:59,16,Food supplements and similar (16),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.01,344,,Salt,I DONT KNOW,,unspecified,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,69,3.44,0,0,0.5,,0,0,,8,8 - no conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,431,"Bouillon cube,Maggi,raw",Riz gras,,429,429,food_item,yes,fourth_pass,,4:00 - 5:59,16,Food supplements and similar (16),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.02,344,,Bouillon cube,Maggi,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,yes,reference_food_code,431,6.88,190,13.072,4.3,,15.5,0,,8,8 - no conversion factor available,3,3 - using fct data from reference food code
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,63,"Rice,white,whole grain,refined,raw",Riz gras,,,123,food_item,yes,fourth_pass,,4:00 - 5:59,1,Cereals and their products (1),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.71,344,,Rice,white,,whole grain,,refined,,I DONT KNOW,,I DONT KNOW,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,63,244.24,118,288.2032,70.3,,2.3,0,,8,8 - no conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,66,"Tomato,ripe,whole,fresh,raw",Riz gras,,,634,food_item,yes,fourth_pass,,4:00 - 5:59,4,Milk and milk products (4),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.06,344,,Tomato,I DONT KNOW,,ripe,,whole,,fresh,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,66,20.64,28,5.7792,91.5,,1.4,0,,8,8 - no conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,65,"Tomato,concentrated (paste),raw",Riz gras,,,634,food_item,yes,fourth_pass,,4:00 - 5:59,4,Milk and milk products (4),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.04,344,,Tomato,I DONT KNOW,,I DONT KNOW,,concentrated (paste),,I DONT KNOW,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,65,13.76,80,11.008,76.2,,3.2,0,,8,8 - no conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,67,"Vegetable oil,unspecified,raw",Riz gras,,,557,food_item,yes,fourth_pass,,4:00 - 5:59,11,Fats and oils (11),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.07,344,,Vegetable oil,I DONT KNOW,,unspecified,,I DONT KNOW,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,67,24.08,900,216.72,0,,0,0,,8,8 - no conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,64,"Onion,fresh,raw",Riz gras,,,863,food_item,yes,fourth_pass,,4:00 - 5:59,4,Milk and milk products (4),,,,,,,yes,4cb9acef-dc43-4ff4-a1af-a91c4c526375,10009,0.08,344,,Onion,I DONT KNOW,,fresh,,I DONT KNOW,,raw,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,I DONT KNOW,,,,,,,,,,,,,,,,,,,,yes,no,no,food_code,64,27.52,46,12.6592,87,,1.4,0,,8,8 - no conversion factor available,1,1 - fct data available
